"WBIC","lakename","max_depth","max_vol","lower_depth","lower_vol","vol_pcnt_loss"
1018600,"snowden",11,917.193242785386,10,796.461856755159,13.1631351386305
2323900,"southplacidtwin",26,560.796323907999,25,526.488838488337,6.11763735906556
1881900,"sparkling",60,5685.31808812914,59,5534.97080337514,2.64448325359183
1882100,"spiderlakechain",62,1019.71775728238,61,982.229805111819,3.67630669396911
1513000,"spirit",9,772.150675303485,8,645.04641685181,16.4610693893026
1611100,"spring",15,629.356878214952,14,561.062514173999,10.8514527138649
1402300,"springvillepond",10,78.4739709416488,9,70.6265738474839,10
1882800,"statenaker",77,1680.61885794093,76,1628.3953785756,3.10739577379899
2323600,"stearns",16,2403.65302502912,15,2186.66144704154,9.02757493398844
1575700,"stella",22,3825.16457449745,21,3431.09126829017,10.3021268374851
1513800,"stone",16,681.388538967887,15,602.923748117744,11.5154256878162
2272700,"stone",14,1676.87728243373,13,1437.80588842318,14.2569403566353
1884200,"street",22,615.513676092134,21,570.518667388545,7.31015580177854
1825100,"strum",8,176.055974288187,7,134.883317863114,23.3861171661671
1020400,"sugarcamp",38,6646.19455345272,37,6182.99129385732,6.96945080180905
1020600,"sunday",43,1438.73142400695,42,1357.77527952408,5.62691153692861
1020900,"sunset",30,3111.42729309254,29,2911.70465168798,6.4190039679844
1572500,"sunset",16,321.471876573253,15,291.424912578032,9.34668510213342
1528700,"swampsauger",15,1146.03979472254,14,1024.77906280161,10.580848281127
2473500,"tahkodah",18,1696.96079840213,17,1553.88846948456,8.43109216502147
1603600,"tambling",11,1022.85657082139,10,879.489590522172,14.0163327282618
1269100,"tarrant",5,95.9093610558795,4,74.5985140729028,22.2197778698165
1714900,"tealflowage",10,78.3480048424288,9,64.5771949198706,17.5764653487394
1859400,"ten",37,708.355340100237,36,668.338670287611,5.64923669622698
1572200,"third",14,622.352739664687,13,545.691785560698,12.3179266705393
2151200,"tildenmillpond",11,138.504222789003,10,104.742607230203,24.3758745249467
1342100,"tomah",17,1074.26183093114,16,867.152852216595,19.2791899284949
1586800,"tomdoyle",30,1665.35065612574,29,1560.98445190444,6.26692065346146
1023100,"townline",23,712.191949893302,22,657.521966885492,7.67629892699579
2172600,"townline",26,370.814321892528,25,333.707696807546,10.0067939381631
1711500,"trow",9,171.092333783824,8,143.630661367844,16.0507907096985
2269000,"tucker",32,1481.32735343993,31,1378.51264256918,6.94071507097959
1482400,"tug",20,1549.70322381048,19,1416.52815874331,8.59358508267854
1887500,"twoisland",38,354.747433878279,37,327.626158108385,7.64523522366038
1621800,"upperbuckatabon",47,9808.6072108489,46,9363.612531585,4.53677744146702
2330800,"uppergresham",32,4849.667465256,31,4525.72257046473,6.67973416965353
2098800,"uppervermilion",9,509.801034542891,8,424.553297338251,16.7217662241656
1176400,"vandercook",20,1191.85468064281,19,1098.91494661589,7.79790821283648
1176700,"virgin",30,318.674875094629,29,284.491475011347,10.7267320880354
1332700,"wazeda",12,281.94544150311,11,235.800067729167,16.3667741985585
1522900,"westhorsehead",23,1429.55515790024,22,1301.9922590246,8.92325827168523
1177200,"westmitchell",13,347.811557495889,12,302.183014391601,13.1187541416958
2340500,"whitebirch",27,1401.18403335966,26,1298.89076507012,7.30048771996558
1177600,"widley",22,561.897236835584,21,519.560374620722,7.53462723064621
2336800,"wildcat",36,3456.4690196973,35,3181.6255288527,7.95156818355252
1529500,"willow",6,1111.73656818526,5,713.376415924614,35.8322433263941
2297000,"wilson",21,2128.12039171145,20,1977.24566655069,7.08957659295874
2420000,"wilson",25,1104.99410815218,24,1011.39312794981,8.47072210718749
2046700,"wintergreen",15,410.347991572991,14,368.07213486959,10.302440263286
1177500,"witches",40,476.645097917281,39,451.042552421926,5.37140644207327
1467100,"wood",33,766.611187112653,32,708.359963553787,7.59853554684773
